modelo,tempo (s),f1_score,preprocessamento,balanceamento,analytics vidhya,embedding_size,método_balanceamento
modelo1,239464,0.9678,False,False,0.70783,300,EDA
modelo1,384001,0.9881,False,True,0.64646,300,EDA
modelo1,198016,0.9591,True,False,0.69745,300,EDA
modelo1,503997,0.9982,True,True,0.32272,300,EDA
modelo2,264104,963,False,False,0.70440,300,EDA
modelo2,433367,0.9881,False,True,0.67060,300,EDA
modelo2,203988,0.9615,True,False,0.70987,300,EDA
modelo2,436249,0.9976,True,True,0.38543,300,EDA
modelo3,238459,0.9637,False,False,0.69480,300,EDA
modelo3,379403,0.9868,False,True,0.62179,300,EDA
modelo3,214742,0.9569,True,False,0.70716,300,EDA
modelo3,264011,0.9978,True,True,0.3,300,EDA
modelo4,264141,0.9584,False,False,0.71236,300,EDA
modelo4,366161,0.9902,False,True,0.62468,300,EDA
modelo4,264414,0.9539,True,False,0.70304,300,EDA
modelo4,444358,0.9966,True,True,0.27334,300,EDA
modelo5,203.87,0.9639,False,False,0.71589,300,EDA
modelo5,384178,0.9886,False,True,0.62996,300,EDA
modelo5,198278,963,True,False,0.68863,300,EDA
modelo5,384016,0.9983,True,True,0.32808,300,EDA
modelo6,204491,964,False,False,0.68543,300,EDA
modelo6,324739,0.99,False,True,0.65793,300,EDA
modelo6,204396,0.9605,True,False,0.68211,300,EDA
modelo6,529912,999,True,True,0.29302,300,EDA
